YEAR,START_DATE,END_DATE,JURISDICTION,LOCATION,AGE_GROUP,METRIC,DETECTION_METHOD,FINES,ARRESTS,CHARGES
2023,1/01/2023,31/01/2023,VIC,Outer Regional Australia,26-39,mobile_phone_use,Police issued,11,,
2023,1/01/2023,31/01/2023,VIC,Outer Regional Australia,40-64,mobile_phone_use,Police issued,9,,
2023,1/01/2023,31/01/2023,VIC,Outer Regional Australia,65 and over,mobile_phone_use,Police issued,3,,
2023,1/01/2023,31/01/2023,VIC,Unknown,26-39,mobile_phone_use,Police issued,2,,
2023,1/01/2023,31/01/2023,VIC,Unknown,40-64,mobile_phone_use,Police issued,1,,
2023,1/01/2023,31/01/2023,WA,Unknown,0-16,mobile_phone_use,Unknown,,0,1
2023,1/01/2023,31/01/2023,WA,Unknown,17-25,mobile_phone_use,Police issued,72,,
2023,1/01/2023,31/01/2023,WA,Unknown,17-25,mobile_phone_use,Unknown,,0,5
2023,1/01/2023,31/01/2023,WA,Unknown,26-39,mobile_phone_use,Police issued,178,,
2023,1/01/2023,31/01/2023,WA,Unknown,26-39,mobile_phone_use,Unknown,,0,5
2023,1/01/2023,31/01/2023,WA,Unknown,40-64,mobile_phone_use,Police issued,123,,
2023,1/01/2023,31/01/2023,WA,Unknown,40-64,mobile_phone_use,Unknown,,1,10
2023,1/01/2023,31/01/2023,WA,Unknown,65 and over,mobile_phone_use,Police issued,19,,
2023,1/01/2023,31/01/2023,WA,Unknown,65 and over,mobile_phone_use,Unknown,,0,1
2023,1/01/2023,31/12/2023,QLD,Unknown,Unknown,mobile_phone_use,Fixed or mobile camera,77213,,
2023,1/01/2023,31/12/2023,QLD,Unknown,Unknown,mobile_phone_use,Police issued,3079,,
2023,1/02/2023,28/02/2023,ACT,Major Cities of Australia,17-25,mobile_phone_use,Police issued,7,,
2023,1/02/2023,28/02/2023,ACT,Major Cities of Australia,26-39,mobile_phone_use,Police issued,8,,
2023,1/02/2023,28/02/2023,ACT,Major Cities of Australia,40-64,mobile_phone_use,Police issued,12,,
2023,1/02/2023,28/02/2023,ACT,Major Cities of Australia,65 and over,mobile_phone_use,Police issued,1,,
2023,1/02/2023,28/02/2023,NSW,Inner Regional Australia,17-25,mobile_phone_use,Police issued,48,,1
2023,1/02/2023,28/02/2023,NSW,Inner Regional Australia,26-39,mobile_phone_use,Police issued,54,,1
2023,1/02/2023,28/02/2023,NSW,Inner Regional Australia,40-64,mobile_phone_use,Police issued,61,,0
2023,1/02/2023,28/02/2023,NSW,Inner Regional Australia,65 and over,mobile_phone_use,Police issued,4,,0
2023,1/02/2023,28/02/2023,NSW,Major Cities of Australia,17-25,mobile_phone_use,Police issued,278,,3
2023,1/02/2023,28/02/2023,NSW,Major Cities of Australia,26-39,mobile_phone_use,Police issued,423,,10
2023,1/02/2023,28/02/2023,NSW,Major Cities of Australia,40-64,mobile_phone_use,Police issued,308,,0
2023,1/02/2023,28/02/2023,NSW,Major Cities of Australia,65 and over,mobile_phone_use,Police issued,28,,0
2023,1/02/2023,28/02/2023,NSW,Outer Regional Australia,17-25,mobile_phone_use,Police issued,4,,1
2023,1/02/2023,28/02/2023,NSW,Outer Regional Australia,26-39,mobile_phone_use,Police issued,13,,1
2023,1/02/2023,28/02/2023,NSW,Outer Regional Australia,40-64,mobile_phone_use,Police issued,10,,0
2023,1/02/2023,28/02/2023,NSW,Unknown,40-64,mobile_phone_use,Police issued,1,,0
2023,1/02/2023,28/02/2023,NSW,Unknown,Unknown,mobile_phone_use,Fixed or mobile camera,18057,,
2023,1/02/2023,28/02/2023,NT,Unknown,17-25,mobile_phone_use,Police issued,5,0,0
2023,1/02/2023,28/02/2023,NT,Unknown,26-39,mobile_phone_use,Police issued,6,0,0
2023,1/02/2023,28/02/2023,NT,Unknown,40-64,mobile_phone_use,Police issued,5,0,0
2023,1/02/2023,28/02/2023,SA,Unknown,0-16,mobile_phone_use,Police issued,0,,
2023,1/02/2023,28/02/2023,SA,Unknown,17-25,mobile_phone_use,Police issued,150,,
2023,1/02/2023,28/02/2023,SA,Unknown,26-39,mobile_phone_use,Police issued,239,,
2023,1/02/2023,28/02/2023,SA,Unknown,40-64,mobile_phone_use,Police issued,177,,
2023,1/02/2023,28/02/2023,SA,Unknown,65 and over,mobile_phone_use,Police issued,24,,
2023,1/02/2023,28/02/2023,SA,Unknown,Unknown,mobile_phone_use,Police issued,0,,
2023,1/02/2023,28/02/2023,TAS,Unknown,0-16,mobile_phone_use,Police issued,0,,0
2023,1/02/2023,28/02/2023,TAS,Unknown,17-25,mobile_phone_use,Police issued,29,,0
2023,1/02/2023,28/02/2023,TAS,Unknown,26-39,mobile_phone_use,Police issued,43,,4
2023,1/02/2023,28/02/2023,TAS,Unknown,40-64,mobile_phone_use,Police issued,35,,0
2023,1/02/2023,28/02/2023,TAS,Unknown,65 and over,mobile_phone_use,Police issued,5,,0
2023,1/02/2023,28/02/2023,VIC,Inner Regional Australia,0-16,mobile_phone_use,Police issued,1,,
2023,1/02/2023,28/02/2023,VIC,Inner Regional Australia,17-25,mobile_phone_use,Police issued,26,,
2023,1/02/2023,28/02/2023,VIC,Inner Regional Australia,26-39,mobile_phone_use,Police issued,55,,
2023,1/02/2023,28/02/2023,VIC,Inner Regional Australia,40-64,mobile_phone_use,Police issued,40,,
2023,1/02/2023,28/02/2023,VIC,Inner Regional Australia,65 and over,mobile_phone_use,Police issued,7,,
2023,1/02/2023,28/02/2023,VIC,Major Cities of Australia,17-25,mobile_phone_use,Police issued,248,,
2023,1/02/2023,28/02/2023,VIC,Major Cities of Australia,26-39,mobile_phone_use,Police issued,586,,
2023,1/02/2023,28/02/2023,VIC,Major Cities of Australia,40-64,mobile_phone_use,Police issued,445,,
2023,1/02/2023,28/02/2023,VIC,Major Cities of Australia,65 and over,mobile_phone_use,Police issued,59,,
2023,1/02/2023,28/02/2023,VIC,Outer Regional Australia,17-25,mobile_phone_use,Police issued,2,,
2023,1/02/2023,28/02/2023,VIC,Outer Regional Australia,26-39,mobile_phone_use,Police issued,12,,
2023,1/02/2023,28/02/2023,VIC,Outer Regional Australia,40-64,mobile_phone_use,Police issued,8,,
2023,1/02/2023,28/02/2023,VIC,Outer Regional Australia,65 and over,mobile_phone_use,Police issued,2,,
2023,1/02/2023,28/02/2023,VIC,Unknown,26-39,mobile_phone_use,Police issued,2,,
2023,1/02/2023,28/02/2023,VIC,Unknown,40-64,mobile_phone_use,Police issued,1,,
2023,1/02/2023,28/02/2023,WA,Unknown,17-25,mobile_phone_use,Police issued,69,,
2023,1/02/2023,28/02/2023,WA,Unknown,17-25,mobile_phone_use,Unknown,,0,4
2023,1/02/2023,28/02/2023,WA,Unknown,26-39,mobile_phone_use,Police issued,155,,
2023,1/02/2023,28/02/2023,WA,Unknown,26-39,mobile_phone_use,Unknown,,1,12
2023,1/02/2023,28/02/2023,WA,Unknown,40-64,mobile_phone_use,Police issued,125,,
2023,1/02/2023,28/02/2023,WA,Unknown,40-64,mobile_phone_use,Unknown,,1,4
2023,1/02/2023,28/02/2023,WA,Unknown,65 and over,mobile_phone_use,Police issued,19,,
2023,1/02/2023,28/02/2023,WA,Unknown,65 and over,mobile_phone_use,Unknown,,0,1
2023,1/03/2023,31/03/2023,ACT,Major Cities of Australia,0-16,mobile_phone_use,Police issued,1,,
2023,1/03/2023,31/03/2023,ACT,Major Cities of Australia,17-25,mobile_phone_use,Police issued,12,,
